make,model,tier,source_type,urls_processed,images_downloaded,images_approved,images_rejected,rejection_rate,colors_detected,run_duration_seconds,errors,timestamp
Audi,S5 Coupe,Tier 1,Official Website,1,0,0,0,0%,,102,1,2026-03-18T11:58:25Z
Audi,S6 Sedan,Tier 1,Official Website,7,0,0,0,0%,,13,0,2026-03-18T11:58:38Z
Audi,Tt Rs Coupe,Tier 1,Official Website,1,0,0,0,0%,,63,1,2026-03-18T11:59:41Z
Audi,Tt Hatchback,Tier 1,Official Website,1,0,0,0,0%,,54,1,2026-03-18T12:00:36Z
Audi,A6,Tier 1,Official Website,1,20,8,12,60.0%,,457,0,2026-03-20T06:09:42Z
Audi,A4,Tier 1,Official Website,1,15,6,9,60.0%,,266,0,2026-03-20T06:14:09Z
Audi,Q8,Tier 1,Official Website,8,115,7,108,93.9%,,2698,0,2026-03-20T06:59:07Z
Audi,A8,Tier 1,Official Website,4,32,14,18,56.2%,,441,1,2026-03-20T07:06:29Z
Audi,A7,Tier 1,Official Website,3,37,6,31,83.8%,,807,0,2026-03-20T07:19:56Z
Audi,A3,Tier 1,Official Website,3,31,6,25,80.6%,,1316,0,2026-03-20T07:41:52Z
Audi,Tts,Tier 1,Official Website,1,9,7,2,22.2%,,143,0,2026-03-20T07:44:16Z
Audi,Allroad,Tier 1,Official Website,1,11,4,7,63.6%,,449,0,2026-03-20T07:51:46Z
Audi,Q7,Tier 1,Official Website,1,10,5,5,50.0%,,422,0,2026-03-20T07:58:48Z
Audi,A5,Tier 1,Official Website,1,39,10,29,74.4%,,937,0,2026-03-20T08:14:25Z
Audi,Q5,Tier 1,Official Website,4,27,5,22,81.5%,,1716,0,2026-03-20T08:43:02Z
Audi,Q3,Tier 1,Official Website,4,63,13,50,79.4%,,693,0,2026-03-20T08:54:35Z
Audi,E-Tron,Tier 1,Official Website,2,19,6,13,68.4%,,800,0,2026-03-20T09:07:55Z
Audi,Q4 E-Tron,Tier 1,Official Website,4,45,11,34,75.6%,,894,0,2026-03-20T09:22:50Z
Audi,E-Tron Gt,Tier 1,Official Website,6,64,9,55,85.9%,,1426,0,2026-03-20T09:46:37Z
Audi,Q6 E-Tron,Tier 1,Official Website,8,88,13,75,85.2%,,2415,0,2026-03-20T10:26:53Z
Audi,R8 Coupe,Tier 1,Official Website,6,0,0,0,0%,,12,0,2026-03-20T10:27:05Z
Audi,S4,Tier 1,Official Website,1,23,5,18,78.3%,,213,0,2026-03-20T10:30:39Z
Audi,S5 Convertible,Tier 1,Official Website,1,7,0,7,100.0%,,381,0,2026-03-20T10:37:00Z
Audi,S5 Coupe,Tier 1,Official Website,1,11,1,10,90.9%,,274,0,2026-03-20T10:41:35Z
Audi,S6 Sedan,Tier 1,Official Website,7,0,0,0,0%,,14,0,2026-03-20T10:41:49Z
Audi,Tt Rs Coupe,Tier 1,Official Website,1,10,0,10,100.0%,,862,0,2026-03-20T10:56:11Z
